ksic_code,ksic_name,kapp_industry_tag,industry_label_ko,primary_jf_code,secondary_jf_codes,ib_scenario_key,mapping_method,review_status
2040,임업 관련 서비스업,AGRICULTURE,농업·임업·어업,JF_AGR_04,"JF_MFG_01,JF_STR_01,JF_ADM_01,JF_SAL_01,JF_MFG_03",AGRICULTURE,industry_rule,confirmed
3111,원양 어업,AGRICULTURE,농업·임업·어업,JF_AGR_03,"JF_MFG_01,JF_STR_01,JF_ADM_01,JF_SAL_01,JF_MFG_03",AGRICULTURE,industry_rule,confirmed
3112,연근해 어업,AGRICULTURE,농업·임업·어업,JF_AGR_03,"JF_MFG_01,JF_STR_01,JF_ADM_01,JF_SAL_01,JF_MFG_03",AGRICULTURE,industry_rule,confirmed
3120,내수면 어업,AGRICULTURE,농업·임업·어업,JF_AGR_03,"JF_MFG_01,JF_STR_01,JF_ADM_01,JF_SAL_01,JF_MFG_03",AGRICULTURE,industry_rule,confirmed
3211,해수면 양식 어업,AGRICULTURE,농업·임업·어업,JF_AGR_03,"JF_MFG_01,JF_STR_01,JF_ADM_01,JF_SAL_01,JF_MFG_03",AGRICULTURE,industry_rule,confirmed
3212,내수면 양식 어업,AGRICULTURE,농업·임업·어업,JF_AGR_03,"JF_MFG_01,JF_STR_01,JF_ADM_01,JF_SAL_01,JF_MFG_03",AGRICULTURE,industry_rule,confirmed
3213,수산물 부화 및 수산종자 생산업,AGRICULTURE,농업·임업·어업,JF_AGR_03,"JF_MFG_01,JF_STR_01,JF_ADM_01,JF_SAL_01,JF_MFG_03",AGRICULTURE,industry_rule,confirmed
3220,어업 관련 서비스업,AGRICULTURE,농업·임업·어업,JF_AGR_03,"JF_MFG_01,JF_STR_01,JF_ADM_01,JF_SAL_01,JF_MFG_03",AGRICULTURE,industry_rule,confirmed
5100,석탄 광업,MINING,광업,JF_MFG_10,"JF_MFG_01,JF_MFG_03,JF_CON_02,JF_MFG_07,JF_STR_01",MINING,industry_rule,confirmed
5200,원유 및 천연가스 채굴업,MINING,광업,JF_MFG_10,"JF_MFG_01,JF_MFG_03,JF_CON_02,JF_MFG_07,JF_STR_01",MINING,industry_rule,confirmed
6100,철 광업,MINING,광업,JF_MFG_10,"JF_MFG_01,JF_MFG_03,JF_CON_02,JF_MFG_07,JF_STR_01",MINING,industry_rule,confirmed
6200,비철금속 광업,MINING,광업,JF_MFG_10,"JF_MFG_01,JF_MFG_03,JF_CON_02,JF_MFG_07,JF_STR_01",MINING,industry_rule,confirmed
7110,석회석 및 점토 광업,MINING,광업,JF_MFG_10,"JF_MFG_01,JF_MFG_03,JF_CON_02,JF_MFG_07,JF_STR_01",MINING,industry_rule,confirmed
7121,건설용 석재 채굴 및 쇄석 생산업,MINING,광업,JF_MFG_10,"JF_MFG_01,JF_MFG_03,JF_CON_02,JF_MFG_07,JF_STR_01",MINING,industry_rule,confirmed
7122,모래 및 자갈 채취업,MINING,광업,JF_MFG_10,"JF_MFG_01,JF_MFG_03,JF_CON_02,JF_MFG_07,JF_STR_01",MINING,industry_rule,confirmed
7210,화학용 및 비료원료용 광물 광업,MINING,광업,JF_MFG_10,"JF_MFG_01,JF_MFG_03,JF_CON_02,JF_MFG_07,JF_STR_01",MINING,industry_rule,confirmed
7220,천일염 생산 및 암염 채취업,MINING,광업,JF_MFG_10,"JF_MFG_01,JF_MFG_03,JF_CON_02,JF_MFG_07,JF_STR_01",MINING,industry_rule,confirmed
7290,그 외 기타 비금속광물 광업,MINING,광업,JF_MFG_10,"JF_MFG_01,JF_MFG_03,JF_CON_02,JF_MFG_07,JF_STR_01",MINING,industry_rule,confirmed
8000,광업 지원 서비스업,MINING,광업,JF_MFG_10,"JF_MFG_01,JF_MFG_03,JF_CON_02,JF_MFG_07,JF_STR_01",MINING,industry_rule,confirmed
10111,육류 도축업(가금류 제외),MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10112,가금류 도축업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10121,가금류 가공 및 저장 처리업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
