code,name,name_official,name_clean,level,level_num,is_leaf,parent_code,major_code,middle_code,minor_code,detail_code,subdetail_code,major_name,middle_name,minor_name,detail_name,subdetail_name,major_name_filled,path_codes,path_names,kapp_industry_tag,industry_label_ko,diagnostic_unit,is_demo_target,context_level,excluded_flag,ncs_unit_code,ksco_code,keco_code,onet_soc_code,wage_survey_code,benchmark_group,benchmark_avg_K,benchmark_avg_A,benchmark_avg_P1,benchmark_avg_P2,benchmark_p10_total,key_skills,skill_industry_avg,career_path_mid,career_path_far
R,"예술, 스포츠 및 여가관련 서비스업","예술, 스포츠 및 여가관련 서비스업(90~91)","예술, 스포츠 및 여가관련 서비스업",major,1,False,,R,,,,,"예술, 스포츠 및 여가관련 서비스업",,,,,"예술, 스포츠 및 여가관련 서비스업",R,"예술, 스포츠 및 여가관련 서비스업",ARTS_SPORTS,문화·예술·스포츠,False,False,industry_overlay,False,,,,,,,,,,,,,,,
S,"협회 및 단체, 수리 및 기타 개인 서비스업","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","협회 및 단체, 수리 및 기타 개인 서비스업",major,1,False,,S,,,,,"협회 및 단체, 수리 및 기타 개인 서비스업",,,,,"협회 및 단체, 수리 및 기타 개인 서비스업",S,"협회 및 단체, 수리 및 기타 개인 서비스업",ASSOC_ORG,기타 서비스업,False,False,industry_overlay,False,,,,,,,,,,,,,,,
T,가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동,가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98),가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동,major,1,False,,T,,,,,가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동,,,,,가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동,T,가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동,HOUSEHOLD,가구 내 고용 활동,False,False,industry_overlay,True,,,,,,,,,,,,,,,
U,국제 및 외국기관,국제 및 외국기관(99),국제 및 외국기관,major,1,False,,U,,,,,국제 및 외국기관,,,,,국제 및 외국기관,U,국제 및 외국기관,INTERNATIONAL,국제·외국기관,False,False,industry_overlay,True,,,,,,,,,,,,,,,
01,농업,농업,농업,middle,2,False,A,0,1.0,,,,"농업, 임업 및 어업",농업,,,,"농업, 임업 및 어업",0/01, / 농업,AGRICULTURE,농업·임업·어업,False,False,context_group,False,,,,,,,,,,,,,,,
02,임업,임업,임업,middle,2,False,A,0,2.0,,,,"농업, 임업 및 어업",임업,,,,"농업, 임업 및 어업",0/02, / 임업,AGRICULTURE,농업·임업·어업,False,False,context_group,False,,,,,,,,,,,,,,,
03,어업,어업,어업,middle,2,False,A,0,3.0,,,,"농업, 임업 및 어업",어업,,,,"농업, 임업 및 어업",0/03, / 어업,AGRICULTURE,농업·임업·어업,False,False,context_group,False,,,,,,,,,,,,,,,
05,"석탄, 원유 및 천연가스 광업","석탄, 원유 및 천연가스 광업","석탄, 원유 및 천연가스 광업",middle,2,False,B,0,5.0,,,,광업,"석탄, 원유 및 천연가스 광업",,,,광업,0/05," / 석탄, 원유 및 천연가스 광업",MINING,광업,False,False,context_group,False,,,,,,,,,,,,,,,
06,금속 광업,금속 광업,금속 광업,middle,2,False,B,0,6.0,,,,광업,금속 광업,,,,광업,0/06, / 금속 광업,MINING,광업,False,False,context_group,False,,,,,,,,,,,,,,,
07,"비금속광물 광업, 연료용 제외",비금속광물 광업; 연료용 제외,"비금속광물 광업, 연료용 제외",middle,2,False,B,0,7.0,,,,광업,"비금속광물 광업, 연료용 제외",,,,광업,0/07," / 비금속광물 광업, 연료용 제외",MINING,광업,False,False,context_group,False,,,,,,,,,,,,,,,
08,광업 지원 서비스업,광업 지원 서비스업,광업 지원 서비스업,middle,2,False,B,0,8.0,,,,광업,광업 지원 서비스업,,,,광업,0/08, / 광업 지원 서비스업,MINING,광업,False,False,context_group,False,,,,,,,,,,,,,,,
