code,name,name_official,name_clean,level,level_num,is_leaf,parent_code,major_code,middle_code,minor_code,detail_code,subdetail_code,major_name,middle_name,minor_name,detail_name,subdetail_name,major_name_filled,path_codes,path_names,kapp_industry_tag,industry_label_ko,diagnostic_unit,is_demo_target,context_level,excluded_flag,ncs_unit_code,ksco_code,keco_code,onet_soc_code,wage_survey_code,benchmark_group,benchmark_avg_K,benchmark_avg_A,benchmark_avg_P1,benchmark_avg_P2,benchmark_p10_total,key_skills,skill_industry_avg,career_path_mid,career_path_far
370,"하수, 폐수 및 분뇨 처리업","하수, 폐수 및 분뇨 처리업","하수, 폐수 및 분뇨 처리업",minor,3,False,37,3,37.0,370.0,,,"수도, 하수 및 폐기물 처리, 원료 재생업","하수, 폐수 및 분뇨 처리업","하수, 폐수 및 분뇨 처리업",,,"수도, 하수 및 폐기물 처리, 원료 재생업",3/37/370," / 하수, 폐수 및 분뇨 처리업 / 하수, 폐수 및 분뇨 처리업",ENVIRONMENT,환경·폐기물 처리,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,,,,,,TBD,TBD,TBD,TBD
381,"폐기물 수집, 운반업","폐기물 수집, 운반업","폐기물 수집, 운반업",minor,3,False,38,3,38.0,381.0,,,"수도, 하수 및 폐기물 처리, 원료 재생업","폐기물 수집, 운반, 처리 및 원료 재생업","폐기물 수집, 운반업",,,"수도, 하수 및 폐기물 처리, 원료 재생업",3/38/381," / 폐기물 수집, 운반, 처리 및 원료 재생업 / 폐기물 수집, 운반업",ENVIRONMENT,환경·폐기물 처리,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,,,,,,TBD,TBD,TBD,TBD
382,폐기물 처리업,폐기물 처리업,폐기물 처리업,minor,3,False,38,3,38.0,382.0,,,"수도, 하수 및 폐기물 처리, 원료 재생업","폐기물 수집, 운반, 처리 및 원료 재생업",폐기물 처리업,,,"수도, 하수 및 폐기물 처리, 원료 재생업",3/38/382," / 폐기물 수집, 운반, 처리 및 원료 재생업 / 폐기물 처리업",ENVIRONMENT,환경·폐기물 처리,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,,,,,,TBD,TBD,TBD,TBD
383,"해체, 선별 및 원료 재생업","해체, 선별 및 원료 재생업","해체, 선별 및 원료 재생업",minor,3,False,38,3,38.0,383.0,,,"수도, 하수 및 폐기물 처리, 원료 재생업","폐기물 수집, 운반, 처리 및 원료 재생업","해체, 선별 및 원료 재생업",,,"수도, 하수 및 폐기물 처리, 원료 재생업",3/38/383," / 폐기물 수집, 운반, 처리 및 원료 재생업 / 해체, 선별 및 원료 재생업",ENVIRONMENT,환경·폐기물 처리,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,,,,,,TBD,TBD,TBD,TBD
390,환경 정화 및 복원업,환경 정화 및 복원업,환경 정화 및 복원업,minor,3,False,39,3,39.0,390.0,,,"수도, 하수 및 폐기물 처리, 원료 재생업",환경 정화 및 복원업,환경 정화 및 복원업,,,"수도, 하수 및 폐기물 처리, 원료 재생업",3/39/390, / 환경 정화 및 복원업 / 환경 정화 및 복원업,ENVIRONMENT,환경·폐기물 처리,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,,,,,,TBD,TBD,TBD,TBD
411,건물 건설업,건물 건설업,건물 건설업,minor,3,False,41,4,41.0,411.0,,,건설업,종합 건설업,건물 건설업,,,건설업,4/41/411, / 종합 건설업 / 건물 건설업,CONSTRUCTION,건설·부동산,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,61.0,57.0,60.0,54.0,78.0,TBD,TBD,TBD,TBD
412,토목 건설업,토목 건설업,토목 건설업,minor,3,False,41,4,41.0,412.0,,,건설업,종합 건설업,토목 건설업,,,건설업,4/41/412, / 종합 건설업 / 토목 건설업,CONSTRUCTION,건설·부동산,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,61.0,57.0,60.0,54.0,78.0,TBD,TBD,TBD,TBD
421,기반조성 및 시설물 축조관련 전문공사업,기반조성 및 시설물 축조관련 전문공사업,기반조성 및 시설물 축조관련 전문공사업,minor,3,False,42,4,42.0,421.0,,,건설업,전문직별 공사업,기반조성 및 시설물 축조관련 전문공사업,,,건설업,4/42/421, / 전문직별 공사업 / 기반조성 및 시설물 축조관련 전문공사업,CONSTRUCTION,건설·부동산,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,61.0,57.0,60.0,54.0,78.0,TBD,TBD,TBD,TBD
422,건물설비 설치 공사업,건물설비 설치 공사업,건물설비 설치 공사업,minor,3,False,42,4,42.0,422.0,,,건설업,전문직별 공사업,건물설비 설치 공사업,,,건설업,4/42/422, / 전문직별 공사업 / 건물설비 설치 공사업,CONSTRUCTION,건설·부동산,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,61.0,57.0,60.0,54.0,78.0,TBD,TBD,TBD,TBD
423,전기 및 통신 공사업,전기 및 통신 공사업,전기 및 통신 공사업,minor,3,False,42,4,42.0,423.0,,,건설업,전문직별 공사업,전기 및 통신 공사업,,,건설업,4/42/423, / 전문직별 공사업 / 전기 및 통신 공사업,CONSTRUCTION,건설·부동산,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,61.0,57.0,60.0,54.0,78.0,TBD,TBD,TBD,TBD
424,실내건축 및 건축마무리 공사업,실내건축 및 건축마무리 공사업,실내건축 및 건축마무리 공사업,minor,3,False,42,4,42.0,424.0,,,건설업,전문직별 공사업,실내건축 및 건축마무리 공사업,,,건설업,4/42/424, / 전문직별 공사업 / 실내건축 및 건축마무리 공사업,CONSTRUCTION,건설·부동산,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,61.0,57.0,60.0,54.0,78.0,TBD,TBD,TBD,TBD
425,시설물 유지관리 공사업,시설물 유지관리 공사업,시설물 유지관리 공사업,minor,3,False,42,4,42.0,425.0,,,건설업,전문직별 공사업,시설물 유지관리 공사업,,,건설업,4/42/425, / 전문직별 공사업 / 시설물 유지관리 공사업,CONSTRUCTION,건설·부동산,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,61.0,57.0,60.0,54.0,78.0,TBD,TBD,TBD,TBD
426,건설장비 운영업,건설장비 운영업,건설장비 운영업,minor,3,False,42,4,42.0,426.0,,,건설업,전문직별 공사업,건설장비 운영업,,,건설업,4/42/426, / 전문직별 공사업 / 건설장비 운영업,CONSTRUCTION,건설·부동산,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,61.0,57.0,60.0,54.0,78.0,TBD,TBD,TBD,TBD
451,자동차 판매업,자동차 판매업,자동차 판매업,minor,3,False,45,4,45.0,451.0,,,도매 및 소매업,자동차 및 부품 판매업,자동차 판매업,,,도매 및 소매업,4/45/451, / 자동차 및 부품 판매업 / 자동차 판매업,RETAIL_TRADE,도매·소매업,False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,60.0,63.0,57.0,79.0,TBD,TBD,TBD,TBD
452,자동차 부품 및 내장품 판매업,자동차 부품 및 내장품 판매업,자동차 부품 및 내장품 판매업,minor,3,False,45,4,45.0,452.0,,,도매 및 소매업,자동차 및 부품 판매업,자동차 부품 및 내장품 판매업,,,도매 및 소매업,4/45/452, / 자동차 및 부품 판매업 / 자동차 부품 및 내장품 판매업,RETAIL_TRADE,도매·소매업,False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,60.0,63.0,57.0,79.0,TBD,TBD,TBD,TBD
453,모터사이클 및 부품 판매업,모터사이클 및 부품 판매업,모터사이클 및 부품 판매업,minor,3,False,45,4,45.0,453.0,,,도매 및 소매업,자동차 및 부품 판매업,모터사이클 및 부품 판매업,,,도매 및 소매업,4/45/453, / 자동차 및 부품 판매업 / 모터사이클 및 부품 판매업,RETAIL_TRADE,도매·소매업,False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,60.0,63.0,57.0,79.0,TBD,TBD,TBD,TBD
461,상품 중개업,상품 중개업,상품 중개업,minor,3,False,46,4,46.0,461.0,,,도매 및 소매업,도매 및 상품 중개업,상품 중개업,,,도매 및 소매업,4/46/461, / 도매 및 상품 중개업 / 상품 중개업,RETAIL_TRADE,도매·소매업,False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,60.0,63.0,57.0,79.0,TBD,TBD,TBD,TBD
462,산업용 농ㆍ축산물 및 동ㆍ식물 도매업,산업용 농ㆍ축산물 및 동ㆍ식물 도매업,산업용 농ㆍ축산물 및 동ㆍ식물 도매업,minor,3,False,46,4,46.0,462.0,,,도매 및 소매업,도매 및 상품 중개업,산업용 농ㆍ축산물 및 동ㆍ식물 도매업,,,도매 및 소매업,4/46/462, / 도매 및 상품 중개업 / 산업용 농ㆍ축산물 및 동ㆍ식물 도매업,RETAIL_TRADE,도매·소매업,False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,60.0,63.0,57.0,79.0,TBD,TBD,TBD,TBD
463,음ㆍ식료품 및 담배 도매업,음ㆍ식료품 및 담배 도매업,음ㆍ식료품 및 담배 도매업,minor,3,False,46,4,46.0,463.0,,,도매 및 소매업,도매 및 상품 중개업,음ㆍ식료품 및 담배 도매업,,,도매 및 소매업,4/46/463, / 도매 및 상품 중개업 / 음ㆍ식료품 및 담배 도매업,RETAIL_TRADE,도매·소매업,False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,60.0,63.0,57.0,79.0,TBD,TBD,TBD,TBD
464,생활용품 도매업,생활용품 도매업,생활용품 도매업,minor,3,False,46,4,46.0,464.0,,,도매 및 소매업,도매 및 상품 중개업,생활용품 도매업,,,도매 및 소매업,4/46/464, / 도매 및 상품 중개업 / 생활용품 도매업,RETAIL_TRADE,도매·소매업,False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,60.0,63.0,57.0,79.0,TBD,TBD,TBD,TBD
465,기계장비 및 관련 물품 도매업,기계장비 및 관련 물품 도매업,기계장비 및 관련 물품 도매업,minor,3,False,46,4,46.0,465.0,,,도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,,,도매 및 소매업,4/46/465, / 도매 및 상품 중개업 / 기계장비 및 관련 물품 도매업,RETAIL_TRADE,도매·소매업,False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,60.0,63.0,57.0,79.0,TBD,TBD,TBD,TBD
466,"건축 자재, 철물 및 난방장치 도매업","건축 자재, 철물 및 난방장치 도매업","건축 자재, 철물 및 난방장치 도매업",minor,3,False,46,4,46.0,466.0,,,도매 및 소매업,도매 및 상품 중개업,"건축 자재, 철물 및 난방장치 도매업",,,도매 및 소매업,4/46/466," / 도매 및 상품 중개업 / 건축 자재, 철물 및 난방장치 도매업",RETAIL_TRADE,도매·소매업,False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,60.0,63.0,57.0,79.0,TBD,TBD,TBD,TBD
467,기타 전문 도매업,기타 전문 도매업,기타 전문 도매업,minor,3,False,46,4,46.0,467.0,,,도매 및 소매업,도매 및 상품 중개업,기타 전문 도매업,,,도매 및 소매업,4/46/467, / 도매 및 상품 중개업 / 기타 전문 도매업,RETAIL_TRADE,도매·소매업,False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,60.0,63.0,57.0,79.0,TBD,TBD,TBD,TBD
468,상품 종합 도매업,상품 종합 도매업,상품 종합 도매업,minor,3,False,46,4,46.0,468.0,,,도매 및 소매업,도매 및 상품 중개업,상품 종합 도매업,,,도매 및 소매업,4/46/468, / 도매 및 상품 중개업 / 상품 종합 도매업,RETAIL_TRADE,도매·소매업,False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,60.0,63.0,57.0,79.0,TBD,TBD,TBD,TBD
471,종합 소매업,종합 소매업,종합 소매업,minor,3,False,47,4,47.0,471.0,,,도매 및 소매업,"소매업, 자동차 제외",종합 소매업,,,도매 및 소매업,4/47/471," / 소매업, 자동차 제외 / 종합 소매업",RETAIL_TRADE,도매·소매업,False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,60.0,63.0,57.0,79.0,TBD,TBD,TBD,TBD
472,음ㆍ식료품 및 담배 소매업,음ㆍ식료품 및 담배 소매업,음ㆍ식료품 및 담배 소매업,minor,3,False,47,4,47.0,472.0,,,도매 및 소매업,"소매업, 자동차 제외",음ㆍ식료품 및 담배 소매업,,,도매 및 소매업,4/47/472," / 소매업, 자동차 제외 / 음ㆍ식료품 및 담배 소매업",RETAIL_TRADE,도매·소매업,False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,60.0,63.0,57.0,79.0,TBD,TBD,TBD,TBD
473,가전제품 및 정보 통신장비 소매업,가전제품 및 정보 통신장비 소매업,가전제품 및 정보 통신장비 소매업,minor,3,False,47,4,47.0,473.0,,,도매 및 소매업,"소매업, 자동차 제외",가전제품 및 정보 통신장비 소매업,,,도매 및 소매업,4/47/473," / 소매업, 자동차 제외 / 가전제품 및 정보 통신장비 소매업",RETAIL_TRADE,도매·소매업,False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,60.0,63.0,57.0,79.0,TBD,TBD,TBD,TBD
474,"섬유, 의복, 신발 및 가죽제품 소매업","섬유, 의복, 신발 및 가죽제품 소매업","섬유, 의복, 신발 및 가죽제품 소매업",minor,3,False,47,4,47.0,474.0,,,도매 및 소매업,"소매업, 자동차 제외","섬유, 의복, 신발 및 가죽제품 소매업",,,도매 및 소매업,4/47/474," / 소매업, 자동차 제외 / 섬유, 의복, 신발 및 가죽제품 소매업",RETAIL_TRADE,도매·소매업,False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,60.0,63.0,57.0,79.0,TBD,TBD,TBD,TBD
475,기타 생활용품 소매업,기타 생활용품 소매업,기타 생활용품 소매업,minor,3,False,47,4,47.0,475.0,,,도매 및 소매업,"소매업, 자동차 제외",기타 생활용품 소매업,,,도매 및 소매업,4/47/475," / 소매업, 자동차 제외 / 기타 생활용품 소매업",RETAIL_TRADE,도매·소매업,False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,60.0,63.0,57.0,79.0,TBD,TBD,TBD,TBD
476,"문화, 오락 및 여가 용품 소매업","문화, 오락 및 여가 용품 소매업","문화, 오락 및 여가 용품 소매업",minor,3,False,47,4,47.0,476.0,,,도매 및 소매업,"소매업, 자동차 제외","문화, 오락 및 여가 용품 소매업",,,도매 및 소매업,4/47/476," / 소매업, 자동차 제외 / 문화, 오락 및 여가 용품 소매업",RETAIL_TRADE,도매·소매업,False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,60.0,63.0,57.0,79.0,TBD,TBD,TBD,TBD
477,연료 소매업,연료 소매업,연료 소매업,minor,3,False,47,4,47.0,477.0,,,도매 및 소매업,"소매업, 자동차 제외",연료 소매업,,,도매 및 소매업,4/47/477," / 소매업, 자동차 제외 / 연료 소매업",RETAIL_TRADE,도매·소매업,False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,60.0,63.0,57.0,79.0,TBD,TBD,TBD,TBD
478,기타 상품 전문 소매업,기타 상품 전문 소매업,기타 상품 전문 소매업,minor,3,False,47,4,47.0,478.0,,,도매 및 소매업,"소매업, 자동차 제외",기타 상품 전문 소매업,,,도매 및 소매업,4/47/478," / 소매업, 자동차 제외 / 기타 상품 전문 소매업",RETAIL_TRADE,도매·소매업,False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,60.0,63.0,57.0,79.0,TBD,TBD,TBD,TBD
479,무점포 소매업,무점포 소매업,무점포 소매업,minor,3,False,47,4,47.0,479.0,,,도매 및 소매업,"소매업, 자동차 제외",무점포 소매업,,,도매 및 소매업,4/47/479," / 소매업, 자동차 제외 / 무점포 소매업",RETAIL_TRADE,도매·소매업,False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,60.0,63.0,57.0,79.0,TBD,TBD,TBD,TBD
491,철도 운송업,철도 운송업,철도 운송업,minor,3,False,49,4,49.0,491.0,,,운수 및 창고업,육상 운송 및 파이프라인 운송업,철도 운송업,,,운수 및 창고업,4/49/491, / 육상 운송 및 파이프라인 운송업 / 철도 운송업,LOGISTICS,운수·창고업,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,58.0,59.0,55.0,77.0,TBD,TBD,TBD,TBD
492,육상 여객 운송업,육상 여객 운송업,육상 여객 운송업,minor,3,False,49,4,49.0,492.0,,,운수 및 창고업,육상 운송 및 파이프라인 운송업,육상 여객 운송업,,,운수 및 창고업,4/49/492, / 육상 운송 및 파이프라인 운송업 / 육상 여객 운송업,LOGISTICS,운수·창고업,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,58.0,59.0,55.0,77.0,TBD,TBD,TBD,TBD
493,도로 화물 운송업,도로 화물 운송업,도로 화물 운송업,minor,3,False,49,4,49.0,493.0,,,운수 및 창고업,육상 운송 및 파이프라인 운송업,도로 화물 운송업,,,운수 및 창고업,4/49/493, / 육상 운송 및 파이프라인 운송업 / 도로 화물 운송업,LOGISTICS,운수·창고업,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,58.0,59.0,55.0,77.0,TBD,TBD,TBD,TBD
494,소화물 전문 운송업,소화물 전문 운송업,소화물 전문 운송업,minor,3,False,49,4,49.0,494.0,,,운수 및 창고업,육상 운송 및 파이프라인 운송업,소화물 전문 운송업,,,운수 및 창고업,4/49/494, / 육상 운송 및 파이프라인 운송업 / 소화물 전문 운송업,LOGISTICS,운수·창고업,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,58.0,59.0,55.0,77.0,TBD,TBD,TBD,TBD
495,파이프라인 운송업,파이프라인 운송업,파이프라인 운송업,minor,3,False,49,4,49.0,495.0,,,운수 및 창고업,육상 운송 및 파이프라인 운송업,파이프라인 운송업,,,운수 및 창고업,4/49/495, / 육상 운송 및 파이프라인 운송업 / 파이프라인 운송업,LOGISTICS,운수·창고업,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,58.0,59.0,55.0,77.0,TBD,TBD,TBD,TBD
501,해상 운송업,해상 운송업,해상 운송업,minor,3,False,50,5,50.0,501.0,,,운수 및 창고업,수상 운송업,해상 운송업,,,운수 및 창고업,5/50/501, / 수상 운송업 / 해상 운송업,LOGISTICS,운수·창고업,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,58.0,59.0,55.0,77.0,TBD,TBD,TBD,TBD
502,내륙 수상 및 항만 내 운송업,내륙 수상 및 항만 내 운송업,내륙 수상 및 항만 내 운송업,minor,3,False,50,5,50.0,502.0,,,운수 및 창고업,수상 운송업,내륙 수상 및 항만 내 운송업,,,운수 및 창고업,5/50/502, / 수상 운송업 / 내륙 수상 및 항만 내 운송업,LOGISTICS,운수·창고업,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,58.0,59.0,55.0,77.0,TBD,TBD,TBD,TBD
511,항공 여객 운송업,항공 여객 운송업,항공 여객 운송업,minor,3,False,51,5,51.0,511.0,,,운수 및 창고업,항공 운송업,항공 여객 운송업,,,운수 및 창고업,5/51/511, / 항공 운송업 / 항공 여객 운송업,LOGISTICS,운수·창고업,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,58.0,59.0,55.0,77.0,TBD,TBD,TBD,TBD
512,항공 화물 운송업,항공 화물 운송업,항공 화물 운송업,minor,3,False,51,5,51.0,512.0,,,운수 및 창고업,항공 운송업,항공 화물 운송업,,,운수 및 창고업,5/51/512, / 항공 운송업 / 항공 화물 운송업,LOGISTICS,운수·창고업,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,58.0,59.0,55.0,77.0,TBD,TBD,TBD,TBD
521,보관 및 창고업,보관 및 창고업,보관 및 창고업,minor,3,False,52,5,52.0,521.0,,,운수 및 창고업,창고 및 운송관련 서비스업,보관 및 창고업,,,운수 및 창고업,5/52/521, / 창고 및 운송관련 서비스업 / 보관 및 창고업,LOGISTICS,운수·창고업,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,58.0,59.0,55.0,77.0,TBD,TBD,TBD,TBD
529,기타 운송관련 서비스업,기타 운송관련 서비스업,기타 운송관련 서비스업,minor,3,False,52,5,52.0,529.0,,,운수 및 창고업,창고 및 운송관련 서비스업,기타 운송관련 서비스업,,,운수 및 창고업,5/52/529, / 창고 및 운송관련 서비스업 / 기타 운송관련 서비스업,LOGISTICS,운수·창고업,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,60.0,58.0,59.0,55.0,77.0,TBD,TBD,TBD,TBD
551,일반 및 생활 숙박시설 운영업,일반 및 생활 숙박시설 운영업,일반 및 생활 숙박시설 운영업,minor,3,False,55,5,55.0,551.0,,,숙박 및 음식점업,숙박업,일반 및 생활 숙박시설 운영업,,,숙박 및 음식점업,5/55/551, / 숙박업 / 일반 및 생활 숙박시설 운영업,HOSPITALITY,숙박·음식·여행,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,,,,,,TBD,TBD,TBD,TBD
559,기타 숙박업,기타 숙박업,기타 숙박업,minor,3,False,55,5,55.0,559.0,,,숙박 및 음식점업,숙박업,기타 숙박업,,,숙박 및 음식점업,5/55/559, / 숙박업 / 기타 숙박업,HOSPITALITY,숙박·음식·여행,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,,,,,,TBD,TBD,TBD,TBD
561,음식점업,음식점업,음식점업,minor,3,False,56,5,56.0,561.0,,,숙박 및 음식점업,음식점 및 주점업,음식점업,,,숙박 및 음식점업,5/56/561, / 음식점 및 주점업 / 음식점업,HOSPITALITY,숙박·음식·여행,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,,,,,,TBD,TBD,TBD,TBD
562,주점 및 비알코올 음료점업,주점 및 비알코올 음료점업,주점 및 비알코올 음료점업,minor,3,False,56,5,56.0,562.0,,,숙박 및 음식점업,음식점 및 주점업,주점 및 비알코올 음료점업,,,숙박 및 음식점업,5/56/562, / 음식점 및 주점업 / 주점 및 비알코올 음료점업,HOSPITALITY,숙박·음식·여행,False,False,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,,,,,,TBD,TBD,TBD,TBD
581,"서적, 잡지 및 기타 인쇄물 출판업","서적, 잡지 및 기타 인쇄물 출판업","서적, 잡지 및 기타 인쇄물 출판업",minor,3,False,58,5,58.0,581.0,,,정보통신업,출판업,"서적, 잡지 및 기타 인쇄물 출판업",,,정보통신업,5/58/581," / 출판업 / 서적, 잡지 및 기타 인쇄물 출판업",IT_TECH,정보통신업 (IT),False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,68.0,62.0,60.0,65.0,84.0,TBD,TBD,TBD,TBD
582,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,minor,3,False,58,5,58.0,582.0,,,정보통신업,출판업,소프트웨어 개발 및 공급업,,,정보통신업,5/58/582, / 출판업 / 소프트웨어 개발 및 공급업,IT_TECH,정보통신업 (IT),False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,68.0,62.0,60.0,65.0,84.0,TBD,TBD,TBD,TBD
591,"영화, 비디오물, 방송 프로그램 제작 및 배급업","영화, 비디오물, 방송 프로그램 제작 및 배급업","영화, 비디오물, 방송 프로그램 제작 및 배급업",minor,3,False,59,5,59.0,591.0,,,정보통신업,영상ㆍ오디오 기록물 제작 및 배급업,"영화, 비디오물, 방송 프로그램 제작 및 배급업",,,정보통신업,5/59/591," / 영상ㆍ오디오 기록물 제작 및 배급업 / 영화, 비디오물, 방송 프로그램 제작 및 배급업",IT_TECH,정보통신업 (IT),False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,68.0,62.0,60.0,65.0,84.0,TBD,TBD,TBD,TBD
592,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음업,minor,3,False,59,5,59.0,592.0,,,정보통신업,영상ㆍ오디오 기록물 제작 및 배급업,오디오물 출판 및 원판 녹음업,,,정보통신업,5/59/592, / 영상ㆍ오디오 기록물 제작 및 배급업 / 오디오물 출판 및 원판 녹음업,IT_TECH,정보통신업 (IT),False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,68.0,62.0,60.0,65.0,84.0,TBD,TBD,TBD,TBD
601,라디오 방송업,라디오 방송업,라디오 방송업,minor,3,False,60,6,60.0,601.0,,,정보통신업,방송 및 영상ㆍ오디오물 제공 서비스업,라디오 방송업,,,정보통신업,6/60/601, / 방송 및 영상ㆍ오디오물 제공 서비스업 / 라디오 방송업,IT_TECH,정보통신업 (IT),False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,68.0,62.0,60.0,65.0,84.0,TBD,TBD,TBD,TBD
602,텔레비전 방송업,텔레비전 방송업,텔레비전 방송업,minor,3,False,60,6,60.0,602.0,,,정보통신업,방송 및 영상ㆍ오디오물 제공 서비스업,텔레비전 방송업,,,정보통신업,6/60/602, / 방송 및 영상ㆍ오디오물 제공 서비스업 / 텔레비전 방송업,IT_TECH,정보통신업 (IT),False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,68.0,62.0,60.0,65.0,84.0,TBD,TBD,TBD,TBD
603,영상ㆍ오디오물 제공 서비스업,영상ㆍ오디오물 제공 서비스업,영상ㆍ오디오물 제공 서비스업,minor,3,False,60,6,60.0,603.0,,,정보통신업,방송 및 영상ㆍ오디오물 제공 서비스업,영상ㆍ오디오물 제공 서비스업,,,정보통신업,6/60/603, / 방송 및 영상ㆍ오디오물 제공 서비스업 / 영상ㆍ오디오물 제공 서비스업,IT_TECH,정보통신업 (IT),False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,68.0,62.0,60.0,65.0,84.0,TBD,TBD,TBD,TBD
611,공영 우편업,공영 우편업,공영 우편업,minor,3,False,61,6,61.0,611.0,,,정보통신업,우편 및 통신업,공영 우편업,,,정보통신업,6/61/611, / 우편 및 통신업 / 공영 우편업,IT_TECH,정보통신업 (IT),False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,68.0,62.0,60.0,65.0,84.0,TBD,TBD,TBD,TBD
612,전기 통신업,전기 통신업,전기 통신업,minor,3,False,61,6,61.0,612.0,,,정보통신업,우편 및 통신업,전기 통신업,,,정보통신업,6/61/612, / 우편 및 통신업 / 전기 통신업,IT_TECH,정보통신업 (IT),False,True,diagnostic_unit,False,TBD,TBD,TBD,TBD,TBD,TBD,68.0,62.0,60.0,65.0,84.0,TBD,TBD,TBD,TBD
